Activity Type,,,,
UI/UX Design,,,,
Architecture Planning,,,,
System Design,,,,
Coding,,,,
Testing / QA,,,,
Deployment / Monitoring,,,,
Troubleshooting,,,,
Requirement Analysis,,,,
Admin / Training,,,,
Leave,,,,
